,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,LicenseCategory,ApplicationCategory,City,Zip,ContactPhone,LicenseStatus,EndYear,EndMonth,EndDay,StartYear,StartMonth,StartDay,LicenseCreationDateStartYear,LicenseCreationDateStartMonth,LicenseCreationDateStartDay,LicenseExpirationDateEndYear,LicenseExpirationDateEndMonth,LicenseExpirationDateEndDay
25701,26254-2017-RSWC,1251386-DCA,Business,Renewal,L & J BRAZIL RESTAURANT INC.,Issued,Sidewalk Cafe,Special,NEW YORK,10036,2126439271,Active,2017,9,7,2017,9,6,2007,4,7,2021,9,15
111671,32164-2018-RHIC,2076407-DCA,Business,Renewal,GOOD FRIENDS CONSTRUCTION OF NY INC,Issued,Home Improvement Contractor,Special,BROOKLYN,11219,718 600-1024,Active,2019,1,8,2019,1,7,2018,7,31,2021,2,28
142625,3289-2019-AEHD,2083769-DCA,Business,Application,"ADEDOKUN, SAMSON",Issued,Electronic & Appliance Service,Basic,NEW YORK,10026,3479983161,Active,2019,3,28,2019,3,26,2019,3,27,2020,6,30
180970,305-2019-RTRD,1474034-DCA,Business,Renewal,BAYSIDE ENTERPRISES INC.,Issued,Tobacco Retail Dealer,Basic,OAKLAND GARDENS,11364,718-423-6860,Active,2019,1,4,2019,1,3,2013,9,19,2020,12,31
142552,1261-2017-RHIC,1445390-DCA,Business,Renewal,": AVILA-CASTILLO, MACARIO & REYES, LORENZO",Issued,Home Improvement Contractor,Special,STATEN ISLAND,10314,3472253093,Inactive,2017,1,12,2017,1,9,2012,9,20,2019,2,28
189570,1182-2017-RHIC,0677845-DCA,Business,Renewal,GAS AUTOMOTIC SYSTEMS CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11214,7182367686,Active,2017,1,10,2017,1,9,2003,1,2,2021,2,28
144118,764-2017-RHIC,0903642-DCA,Business,Renewal,"HUNT MCNAMEE, INC.",Issued,Home Improvement Contractor,Special,BREEZY POINT,11697,7189450609,Active,2017,1,6,2017,1,5,2002,11,14,2021,2,28
25135,1022-2017-RHIC,1219315-DCA,Business,Renewal,KING KONG G/C INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11215,7185950330,Active,2017,1,12,2017,1,8,2006,2,15,2021,2,28
24504,20280-2017-ALAU,2064587-DCA,Business,Application,JJB CLEANING CORP.,Issued,Laundries,Basic,NEW YORK,10031,212-283-2773,Inactive,2018,1,9,2017,12,28,2018,1,8,2019,12,31
156596,14723-2019-RPWN,1221783-DCA,Business,Renewal,METRO PAWN INC.,Issued,Pawnbroker,Basic,SPRINGFIELD GARDENS,11413,7189497296,Active,2019,3,27,2019,3,20,2008,3,20,2020,4,30
160928,15655-2019-RHIC,2048187-DCA,Business,Renewal,RICK'S CONSTRUCTION & IRONWORKS INC,Issued,Home Improvement Contractor,Special,JAMAICA,11435,7185267037,Active,2019,3,27,2019,3,26,2017,2,8,2021,2,28
179371,2805-2019-RHIC,1232979-DCA,Business,Renewal,"MOWLA, RAFIQUL MD",Issued,Home Improvement Contractor,Special,BROOKLYN,11228,6466439983,Active,2019,4,26,2019,4,25,2006,7,14,2021,2,28
101312,1081-2017-RELE,2008955-DCA,Business,Renewal,WIRELESS EXPERTS INC,Issued,Electronics Store,Basic,JAMAICA,11432,7182061234,Active,2017,1,10,2017,1,9,2014,5,30,2020,12,31
193135,11937-2019-RGAR,1026633-DCA,Business,Renewal,403 LAFAYETTE LLC,Issued,Garage,Basic,NEW YORK,10003,2122541263,Active,2019,3,28,2019,2,27,2000,1,31,2021,3,31
109094,1521-2017-RHIC,1321325-DCA,Business,Renewal,HENG YIP CONSTRUCTION CORPORATION,Issued,Home Improvement Contractor,Special,NEW YORK,10002,2129258396,Active,2017,1,12,2017,1,11,2009,6,10,2021,2,28
120499,30336-2016-RDEB,1006315-DCA,Business,Renewal,DELTA MANAGEMENT ASSOCIATES INC,Issued,Debt Collection Agency,Basic,CHELSEA,02150,6178849444,Active,2017,1,6,2017,1,5,1999,4,12,2021,1,31
139402,520-2014-RCRD,1115271-DCA,Business,Renewal,YO MIN INC.,Issued,Tobacco Retail Dealer,Basic,BROOKLYN,11220,718-765-0888,Inactive,2014,1,5,2014,1,4,2002,7,15,2015,12,31
129021,15844-2017-ASHG,2061942-DCA,Business,Application,ON POINT AUTOMOTIVE LLC,Issued,Secondhand Dealer - General,Basic,BRONX,10474,7184503530,Inactive,2017,11,30,2017,11,3,2017,11,29,2019,7,31
152235,18041-2019-RHIC,1160366-DCA,Business,Renewal,"JIMENEZ, JR. EFRAIN",Issued,Home Improvement Contractor,Special,NEW YORK,10017,2129180650,Active,2019,5,2,2019,4,17,2004,2,27,2021,2,28
141410,1522-2017-RHIC,1328865-DCA,Business,Renewal,RB PROFESSIONAL DESIGN & CONSTRUCTION CORP.,Issued,Home Improvement Contractor,Special,BRONX,10453,2129231617,Inactive,2017,1,12,2017,1,11,2009,8,12,2019,2,28
37395,1502-2017-RHIC,0979341-DCA,Business,Renewal,ATLANTIC CONTRACTING OF NEW YORK INC,Issued,Home Improvement Contractor,Special,NEW HYDE PARK,11040,7183317581,Active,2017,1,12,2017,1,11,1998,2,19,2021,2,28
151260,29792-2016-RHIC,1270169-DCA,Business,Renewal,"L & Z RESTORATION, CORP.",Issued,Home Improvement Contractor,Special,BROOKLYN,11237,7183834131,Active,2017,1,12,2016,12,13,2007,10,11,2021,2,28
156882,1330-2017-RHIC,0815829-DCA,Business,Renewal,EDELSTEIN ROOFING CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11229,7182517090,Active,2017,1,11,2017,1,10,1996,11,12,2021,2,28
193049,32039-2016-RELE,2017853-DCA,Business,Renewal,"METRO169, INC.",Issued,Electronics Store,Basic,JAMAICA,11432,3478497684,Inactive,2017,1,10,2016,12,21,2015,2,2,2018,12,31
84656,17552-2019-RADO,2069370-DCA,Business,Renewal,SEND IN THE CLOWNS ENTERTAINMENT CORP.,Issued,Amusement Device Portable,Special,NEW HYDE PARK,11040,5163541515,Active,2019,4,12,2019,4,11,2018,4,12,2020,3,15
60971,14753-2019-RHIC,0925047-DCA,Business,Renewal,"DESANTO, MICHAEL",Issued,Home Improvement Contractor,Special,SUMMIT,07901,9085980411,Active,2019,3,21,2019,3,20,2003,2,7,2021,2,28
136345,34324-2018-RELE,2078809-DCA,Business,Renewal,HUESOCELL INC,Issued,Electronics Store,Basic,CORONA,11368,9293959859,Active,2019,1,8,2018,12,31,2018,10,4,2020,12,31
102318,12848-2016-RNWS,1294354-DCA,Business,Renewal,"SAPAN, MAHMUD S",Issued,Newsstand,Special,NEW YORK,10011,917-445-6121,Active,2016,9,23,2016,9,23,2008,8,1,2020,9,30
149947,756-2017-RHIC,1330271-DCA,Business,Renewal,AP CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11219,7188540628,Active,2017,1,6,2017,1,5,2009,8,25,2021,2,28
11877,28610-2016-AHIC,2047247-DCA,Business,Application,"DONALDSON, VERON",Issued,Home Improvement Contractor,Special,AMITYVILLE,11701,5166070526,Inactive,2017,1,11,2017,1,9,2017,1,10,2019,2,28
147610,515-2017-RHIC,1213658-DCA,Business,Renewal,"T SQUARE CONTRACTING, LTD.",Issued,Home Improvement Contractor,Special,BROOKLYN,11220,7186792916,Active,2017,1,11,2017,1,4,2007,7,10,2021,2,28
193082,25-2017-RELE,2026466-DCA,Business,Renewal,TECH SOLUTIONS & FIX IT WIRELESS CORP,Issued,Electronics Store,Basic,NEW YORK,10032,6464845392,Inactive,2017,1,11,2017,1,2,2015,7,31,2018,12,31
157793,18898-2019-RHIC,2050709-DCA,Business,Renewal,CHRISTINE WHYTE & LAWERENCE WHYTE,Issued,Home Improvement Contractor,Special,BRONX,10469,3475247614,Active,2019,5,1,2019,4,30,2017,4,5,2021,2,28
39053,31870-2016-RHIC,2022150-DCA,Business,Renewal,RAMRICO INC,Issued,Home Improvement Contractor,Special,TUXEDO PARK,10987,2014474455,Active,2017,1,10,2017,1,9,2015,5,5,2021,2,28
3108,13825-2016-RPDC,1338139-DCA,Business,Renewal,"NEW YORK PEDICABS, INC.",Issued,Pedicab Business,Special,NEW YORK,10014,9176280205,Active,2017,1,6,2016,10,12,2012,10,10,2020,11,1
98565,2919-2017-AEHD,2049688-DCA,Business,Application,"AL-JANNAT, INC.",Issued,Electronic & Appliance Service,Basic,NEW YORK,10012,212-673-5555,Active,2017,3,18,2017,3,9,2017,3,17,2020,6,30
166791,905-2017-RHIC,2023298-DCA,Business,Renewal,LIBERTY GENERAL CONSTRUCTION CORP OF NEW YORK INC,Issued,Home Improvement Contractor,Special,BRONX,10460,6462267073,Active,2017,1,7,2017,1,6,2015,5,26,2021,2,28
194787,18949-2019-RHIC,2012186-DCA,Business,Renewal,IDEAS CONSTRUCTION CORP,Issued,Home Improvement Contractor,Special,FLUSHING,11358,6462797848,Active,2019,5,1,2019,4,30,2014,8,19,2021,2,28
124743,19461-2016-RHIC,1380884-DCA,Business,Renewal,ALADDIN PLUMBING CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11215,7187834621,Active,2017,1,6,2017,1,5,2011,1,18,2021,2,28
180403,1467-2017-RHIC,1240992-DCA,Business,Renewal,"ERGUL CONTRACTING, INC.",Issued,Home Improvement Contractor,Special,BROOKLYN,11230,7183771943,Active,2017,1,12,2017,1,11,2008,1,31,2021,2,28
54508,865-2017-RHIC,2034512-DCA,Business,Renewal,PLATINUM PAINTING CONTRACTOR INC,Issued,Home Improvement Contractor,Special,OSSINING,10562,9143565100,Active,2017,1,7,2017,1,6,2016,3,16,2021,2,28
195415,33271-2016-RELE,2020911-DCA,Business,Renewal,ICELL INCORPORATED,Issued,Electronics Store,Basic,LAURELTON,11413,5162100055,Inactive,2017,1,6,2016,12,28,2015,4,13,2018,12,31
98819,28637-2016-ASLS,2046744-DCA,Business,Application,LITTLE REYES LLC,Issued,Stoop Line Stand,Basic,BRONX,10472,3477266279,Active,2016,12,23,2016,12,19,2016,12,22,2020,3,31
175996,948-2017-RHIC,2038656-DCA,Business,Renewal,Fence Plaza Corp,Issued,Home Improvement Contractor,Special,BROOKLYN,11226,7184692200,Active,2017,1,7,2017,1,6,2016,6,6,2021,2,28
133270,33625-2016-RELE,1403706-DCA,Business,Renewal,NB NETWORK SOLUTIONS INC.,Issued,Electronics Store,Basic,BRONX,10468,7187086248,Active,2017,1,7,2016,12,30,2011,8,10,2020,12,31
146722,27948-2016-AGAR,2046301-DCA,Business,Application,ASTORIA CENTRAL PARKING LLC,Issued,Garage,Basic,ASTORIA,11106,7544447275,Active,2016,12,8,2017,3,30,2016,12,8,2021,3,31
156303,28282-2016-RHIC,1288127-DCA,Business,Renewal,ABBA CONSTRUCTION LLC,Issued,Home Improvement Contractor,Special,NEW YORK,10025,9175364939,Active,2017,1,6,2016,12,8,2013,6,13,2021,2,28
98139,1183-2019-RELE,2050343-DCA,Business,Renewal,"AMERITEL OF 18TH AVE BROOKLYN, LLC",Issued,Electronics Store,Basic,BROOKLYN,11214,7188261111,Active,2019,1,10,2019,1,9,2017,3,30,2020,12,31
105581,4193-2019-AHIC,2085171-DCA,Business,Application,ATTARI CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11218,718 775-0148,Active,2019,4,26,2019,4,15,2019,4,25,2021,2,28
150494,1097-2017-RHIC,2028349-DCA,Business,Renewal,Standard Builders Inc,Issued,Home Improvement Contractor,Special,BRONX,10467,917-310-2100,Active,2017,1,10,2017,1,9,2015,9,14,2021,2,28
175388,24162-2017-RSHG,0690564-DCA,Business,Renewal,"JULIUS COHEN JEWELER, INC.",Issued,Secondhand Dealer - General,Basic,BROOKLYN,11222,2123713050,Active,2017,9,7,2017,9,6,2003,8,13,2021,7,31
115258,7099-2017-RHIC,2043272-DCA,Business,Renewal,"CHARLES, KEION",Issued,Home Improvement Contractor,Special,BROOKLYN,11216,3477926169,Inactive,2017,3,1,2017,2,28,2016,9,2,2019,2,28
108835,1052-2017-RHIC,1396148-DCA,Business,Renewal,ALLIED FLOORING INC.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10312,6469968687,Active,2017,1,10,2017,1,9,2011,6,13,2021,2,28
199929,1215-2019-RDPD,2036732-DCA,Business,Renewal,ORTHOSERVE INC,Issued,Dealer In Products,Basic,BRONX,10458,718-618-7503,Active,2019,1,10,2019,1,9,2016,4,28,2021,3,15
138172,528-2019-RELE,1302418-DCA,Business,Renewal,"SALEEM, NOORALI",Issued,Electronics Store,Basic,NEW YORK,10001,7185678540,Inactive,2019,1,8,2019,1,4,2008,10,17,2020,12,31
47309,942-2017-RHIC,2024882-DCA,Business,Renewal,"SAVAGE, DAVID J",Issued,Home Improvement Contractor,Special,AUSTERLITZ,12017,5183923349,Active,2017,1,7,2017,1,6,2015,6,25,2021,2,28
46653,1046-2017-RHIC,2033223-DCA,Business,Renewal,CHOUDHRY BUILDERS INC,Issued,Home Improvement Contractor,Special,ELMONT,11003,5162632191,Active,2017,1,10,2017,1,9,2016,2,11,2021,2,28
99159,17050-2016-RHIC,2010232-DCA,Business,Renewal,G.M Diamond's Construction LLC,Issued,Home Improvement Contractor,Special,KEW GARDENS,11415,347-622-9334,Active,2017,1,6,2017,1,5,2014,7,2,2021,2,28
190503,6389-2017-RHIC,2021556-DCA,Business,Renewal,Folor Inc.,Issued,Home Improvement Contractor,Special,NEW YORK,10036,6464227536,Active,2017,3,23,2017,3,22,2015,4,23,2021,2,28
45359,33366-2016-RDEB,2038586-DCA,Business,Renewal,"Pacific Union Financial, LLC",Issued,Debt Collection Agency,Basic,IRVING,75063,9728273600,Inactive,2017,1,10,2017,1,9,2016,6,2,2019,1,31
158299,933-2019-RHIC,2060144-DCA,Business,Renewal,"HUDSON WOODWORKERS, LLC",Issued,Home Improvement Contractor,Special,NEW YORK,10027,7185858120,Active,2019,1,9,2019,1,8,2017,11,1,2021,2,28
107368,28989-2016-AHIC,2047126-DCA,Business,Application,"LADINO, JUAN",Issued,Home Improvement Contractor,Special,BROOKLYN,11204,646-542-4728,Active,2017,1,7,2017,1,3,2017,1,6,2021,2,28
116976,9893-2019-RHIC,1258929-DCA,Business,Renewal,"ARTENOVA OF NEW YORK, LTD.",Denied,Home Improvement Contractor,Special,BROOKLYN,11222,7183836790,Inactive,2019,3,26,2019,2,20,2007,6,18,2019,2,28
99614,1377-2017-RELE,2006760-DCA,Business,Renewal,MYRTLE ELECTRONICS & REPAIR INC,Issued,Electronics Store,Basic,BROOKLYN,11237,718-418-8484,Inactive,2017,1,11,2017,1,10,2014,4,23,2018,12,31
163605,42-2017-RELE,2014483-DCA,Business,Renewal,NEW FANTASY ACCESSORIES INC,Issued,Electronics Store,Basic,BROOKLYN,11208,7182772377,Active,2017,1,11,2017,1,2,2014,10,10,2020,12,31
43207,560-2017-RDEB,1023685-DCA,Business,Renewal,"AUDIT SYSTEMS, INC.",Issued,Debt Collection Agency,Basic,CLEARWATER,33762,8005151144,Active,2017,1,6,2017,1,5,1999,11,18,2021,1,31
137725,18186-2019-RHIC,1468224-DCA,Business,Renewal,PATRICK WEISEL LANDSCAPE DESIGN LLC,Issued,Home Improvement Contractor,Special,LONG ISLAND CITY,11101,2127998133,Active,2019,4,27,2019,4,26,2013,6,26,2021,2,28
106149,22610-2018-RTRD,1045212-DCA,Business,Renewal,"J.W. MARKET, INC.",Issued,Tobacco Retail Dealer,Basic,NEW YORK,10012,212-228-9303,Active,2018,10,26,2018,10,25,2000,12,1,2020,12,31
97432,19024-2019-RADO,1174451-DCA,Business,Renewal,"N.Y. PARTY WORKS, INC.",Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,5,1,2019,4,30,2006,4,14,2020,3,15
36641,12645-2016-ASLS,2044674-DCA,Business,Application,HAR SIDDHI CORPORATION,Issued,Stoop Line Stand,Basic,CORONA,11368,718-429-1018,Active,2016,10,14,2016,10,13,2016,10,13,2022,3,31
132512,33302-2016-RHIC,1271234-DCA,Business,Renewal,A I N CONTRACTING CORP.,Issued,Home Improvement Contractor,Special,BROOKLYN,11223,7186481777,Active,2017,1,6,2016,12,28,2007,10,24,2021,2,28
125827,33461-2016-RELE,2034718-DCA,Business,Renewal,SM COMMUNICATION INC.,Issued,Electronics Store,Basic,BRONX,10453,9174129966,Active,2017,1,10,2016,12,29,2016,3,22,2020,12,31
191349,23625-2016-RHIC,1217377-DCA,Business,Renewal,BENNY'S CONTRACTING INC.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10305,7187200331,Active,2017,1,6,2017,1,5,2006,1,11,2021,2,28
29747,26300-2017-RSWC,1249523-DCA,Business,Renewal,AKRAM RESTAURANT MANAGEMENT INC.,Issued,Sidewalk Cafe,Special,NEW YORK,10013,2123439065,Active,2017,9,7,2017,9,7,2007,3,8,2020,4,14
154488,4696-2019-ASLS,2085124-DCA,Business,Application,HAR HAR PHARMACY CORP,Issued,Stoop Line Stand,Basic,CORONA,11368,7187794450,Active,2019,4,26,2019,4,23,2019,4,25,2020,3,31
101038,1086-2017-RHIC,1296484-DCA,Business,Renewal,ACCORD ENTERPRISE CORP.,Issued,Home Improvement Contractor,Special,STATEN ISLAND,10306,7183514780,Active,2017,1,12,2017,1,9,2008,8,20,2021,2,28
49990,707-2017-RHIC,1367306-DCA,Business,Renewal,LAPOLLA METRO INC.,Issued,Home Improvement Contractor,Special,RONKONKOMA,11779,6312075655,Active,2017,1,6,2017,1,5,2010,8,18,2021,2,28
173063,33097-2018-RHIC,2071835-DCA,Business,Renewal,MATRI CONSTRUCTION INC,Issued,Home Improvement Contractor,Special,EAST ELMHURST,11370,9294626766,Active,2019,1,5,2019,1,4,2018,5,24,2021,2,28
130585,22615-2017-RSHG,1090570-DCA,Business,Renewal,NORTH SHORE COLLISION CORP.,Issued,Secondhand Dealer - General,Basic,FLUSHING,11354,7184612224,Active,2017,7,20,2017,7,19,2003,7,7,2021,7,31
155725,24047-2016-RHIC,1250167-DCA,Business,Renewal,GHC CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,ASTORIA,11106,7182677819,Active,2017,1,11,2017,1,10,2009,10,30,2021,2,28
137002,11381-2017-ASHG,2057716-DCA,Business,Application,1 MI TALLER CORP.,Issued,Secondhand Dealer - General,Basic,WOODSIDE,11377,7184247289,Active,2017,9,1,2017,8,24,2017,8,31,2021,7,31
201582,34453-2018-RELE,1467108-DCA,Business,Renewal,BONANZA ELECTRONICS LLC,Issued,Electronics Store,Basic,BRONX,10452,7184441216,Active,2019,1,8,2018,12,31,2013,6,13,2020,12,31
191778,9455-2015-RHIC,1392407-DCA,Business,Renewal,"SIMONELLI CONSTRUCTION CO., LLC",Issued,Home Improvement Contractor,Special,FRESH MEADOWS,11365,9177505591,Inactive,2015,3,26,2015,3,25,2011,5,17,2017,2,28
145172,10300-2015-RHIC,1368990-DCA,Business,Renewal,"CITY SUBURB, INC.",Issued,Home Improvement Contractor,Special,KEW GARDENS,11415,7184062753,Active,2015,3,4,2015,3,3,2010,8,31,2021,2,28
98657,20388-2016-RHIC,1471429-DCA,Business,Renewal,MR. FIXIT HANDYMAN & HOME IMPROVEMENT CORP.,Issued,Home Improvement Contractor,Special,BRONX,10461,3475822160,Active,2017,1,6,2017,1,5,2013,8,15,2021,2,28
135457,1346-2019-RHIC,1171748-DCA,Business,Renewal,"MICHOS, KONSTANTINOS",Issued,Home Improvement Contractor,Special,ASTORIA,11102,6467736462,Active,2019,1,10,2019,1,9,2004,6,24,2021,2,28
106810,33412-2016-RELE,2037379-DCA,Business,Renewal,FIX AND ACCESSORIZE LLC,Issued,Electronics Store,Basic,NEW YORK,10016,646-359-3109,Inactive,2017,1,12,2016,12,29,2016,5,10,2018,12,31
183222,4785-2019-AADT,2085123-DCA,Business,Application,BILLMAR AMUSEMENTS NY PARTYWORKS INC,Issued,Amusement Device Temporary,Basic,FLUSHING,11367,6315011414,Inactive,2019,4,26,2019,4,25,2019,4,25,2019,5,8
137853,18809-2019-RADO,1196635-DCA,Business,Renewal,BILLMAR AMUSEMENTS NY PARTYWORKS INC,Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,4,30,2019,4,29,2006,4,14,2020,3,15
198216,31037-2016-RHIC,1222682-DCA,Business,Renewal,MD & H CONSTRUCTION INC.,Issued,Home Improvement Contractor,Special,BROOKLYN,11208,718-348-6201,Active,2017,1,11,2017,1,10,2006,4,4,2021,2,28
91771,18206-2019-RHIC,2018356-DCA,Business,Renewal,BUILDING YOUR DREAM HOME LLC,Issued,Home Improvement Contractor,Special,WANTAGH,11793,5165573506,Active,2019,4,20,2018,9,11,2015,2,17,2021,2,28
157572,33074-2016-RHIC,1349409-DCA,Business,Renewal,NEIMAR GROUP INC.,Issued,Home Improvement Contractor,Special,RIDGEWOOD,11385,6466436406,Active,2017,1,10,2017,1,9,2010,4,8,2021,2,28
38756,1468-2017-RHIC,1198263-DCA,Business,Renewal,"HERCULES TSIRIKONIS CONSTRUCTION CO., INC.",Issued,Home Improvement Contractor,Special,RONKONKOMA,11779,6317371907,Active,2017,1,12,2017,1,11,2005,5,25,2021,2,28
42241,898-2017-RHIC,1166973-DCA,Business,Renewal,UK INTERIORS INC.,Issued,Home Improvement Contractor,Special,GREENWOOD LAKE,10925,9179519273,Active,2017,1,7,2017,1,6,2004,5,20,2021,2,28
58246,31748-2016-RDEB,2027211-DCA,Business,Renewal,"SOURCE RECEIVABLES MANAGEMENT, LLC",Issued,Debt Collection Agency,Basic,GREENSBORO,27407,3362863111,Active,2017,1,11,2017,1,10,2015,8,17,2021,1,31
142534,19025-2019-RADO,1174450-DCA,Business,Renewal,"N.Y. PARTY WORKS, INC.",Issued,Amusement Device Portable,Special,DEER PARK,11729,6315011414,Active,2019,5,1,2019,4,30,2006,4,14,2020,3,15
