,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,StartDate,EndDate,LicenseCategory,ApplicationCategory,Street,City,Zip,ContactPhone,LicenseExpirationDate,LicenseStatus,LicenseCreationDate
107509,1007-2019-RHIC,1260209-DCA,Business,Renewal,CENTRAL TILE IMPORT LTD.,Issued,01/08/2019,01/09/2019,Home Improvement Contractor,Special,HYLAN BLVD,STATEN ISLAND,10305,7189816700,02/28/2021,Active,06/29/2007
163131,1107-2019-RELE,1379821-DCA,Business,Renewal,"DYNAMIC CELLULAR 37TH STREET, INC.",Issued,01/08/2019,01/09/2019,Electronics Store,Basic,W 37TH ST,NEW YORK,10018,6463548577,12/31/2020,Active,12/30/2010
57160,18887-2019-RHIC,2056403-DCA,Business,Renewal,DANNY MADDEN,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,ROGER AVE,INWOOD,11096,347-268-4282,02/28/2021,Active,07/31/2017
143918,31304-2016-RHIC,1394089-DCA,Business,Renewal,PTU CONSTRUCTION INC.,Issued,12/16/2016,01/07/2017,Home Improvement Contractor,Special,E PENN ST,LONG BEACH,11561,9178543414,02/28/2021,Active,05/27/2011
25701,26254-2017-RSWC,1251386-DCA,Business,Renewal,L & J BRAZIL RESTAURANT INC.,Issued,09/06/2017,09/07/2017,Sidewalk Cafe,Special,W 46TH ST,NEW YORK,10036,2126439271,09/15/2021,Active,04/07/2007
111671,32164-2018-RHIC,2076407-DCA,Business,Renewal,GOOD FRIENDS CONSTRUCTION OF NY INC,Issued,01/07/2019,01/08/2019,Home Improvement Contractor,Special,12TH AVE,BROOKLYN,11219,718 600-1024,02/28/2021,Active,07/31/2018
142625,3289-2019-AEHD,2083769-DCA,Business,Application,"ADEDOKUN, SAMSON",Issued,03/26/2019,03/28/2019,Electronic & Appliance Service,Basic,W 116TH ST,NEW YORK,10026,3479983161,06/30/2020,Active,03/27/2019
180970,305-2019-RTRD,1474034-DCA,Business,Renewal,BAYSIDE ENTERPRISES INC.,Issued,01/03/2019,01/04/2019,Tobacco Retail Dealer,Basic,HORACE HARDING EXPY,OAKLAND GARDENS,11364,718-423-6860,12/31/2020,Active,09/19/2013
142552,1261-2017-RHIC,1445390-DCA,Business,Renewal,": AVILA-CASTILLO, MACARIO & REYES, LORENZO",Issued,01/09/2017,01/12/2017,Home Improvement Contractor,Special,LONGDALE ST,STATEN ISLAND,10314,3472253093,02/28/2019,Inactive,09/20/2012
189570,1182-2017-RHIC,0677845-DCA,Business,Renewal,GAS AUTOMOTIC SYSTEMS CORP.,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,KINGS HWY,BROOKLYN,11214,7182367686,02/28/2021,Active,01/02/2003
144118,764-2017-RHIC,0903642-DCA,Business,Renewal,"HUNT MCNAMEE, INC.",Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,LINCOLN WALK,BREEZY POINT,11697,7189450609,02/28/2021,Active,11/14/2002
25135,1022-2017-RHIC,1219315-DCA,Business,Renewal,KING KONG G/C INC.,Issued,01/08/2017,01/12/2017,Home Improvement Contractor,Special,3RD AVE,BROOKLYN,11215,7185950330,02/28/2021,Active,02/15/2006
24504,20280-2017-ALAU,2064587-DCA,Business,Application,JJB CLEANING CORP.,Issued,12/28/2017,01/09/2018,Laundries,Basic,BROADWAY,NEW YORK,10031,212-283-2773,12/31/2019,Inactive,01/08/2018
156596,14723-2019-RPWN,1221783-DCA,Business,Renewal,METRO PAWN INC.,Issued,03/20/2019,03/27/2019,Pawnbroker,Basic,S CONDUIT AVE,SPRINGFIELD GARDENS,11413,7189497296,04/30/2020,Active,03/20/2008
160928,15655-2019-RHIC,2048187-DCA,Business,Renewal,RICK'S CONSTRUCTION & IRONWORKS INC,Issued,03/26/2019,03/27/2019,Home Improvement Contractor,Special,REMINGTON ST,JAMAICA,11435,7185267037,02/28/2021,Active,02/08/2017
179371,2805-2019-RHIC,1232979-DCA,Business,Renewal,"MOWLA, RAFIQUL MD",Issued,04/25/2019,04/26/2019,Home Improvement Contractor,Special,BAY 8TH ST,BROOKLYN,11228,6466439983,02/28/2021,Active,07/14/2006
101312,1081-2017-RELE,2008955-DCA,Business,Renewal,WIRELESS EXPERTS INC,Issued,01/09/2017,01/10/2017,Electronics Store,Basic,168TH ST,JAMAICA,11432,7182061234,12/31/2020,Active,05/30/2014
193135,11937-2019-RGAR,1026633-DCA,Business,Renewal,403 LAFAYETTE LLC,Issued,02/27/2019,03/28/2019,Garage,Basic,LAFAYETTE ST,NEW YORK,10003,2122541263,03/31/2021,Active,01/31/2000
109094,1521-2017-RHIC,1321325-DCA,Business,Renewal,HENG YIP CONSTRUCTION CORPORATION,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,HESTER ST,NEW YORK,10002,2129258396,02/28/2021,Active,06/10/2009
120499,30336-2016-RDEB,1006315-DCA,Business,Renewal,DELTA MANAGEMENT ASSOCIATES INC,Issued,01/05/2017,01/06/2017,Debt Collection Agency,Basic,EVERETT AVE,CHELSEA,02150,6178849444,01/31/2021,Active,04/12/1999
139402,520-2014-RCRD,1115271-DCA,Business,Renewal,YO MIN INC.,Issued,01/04/2014,01/05/2014,Tobacco Retail Dealer,Basic,8TH AVE,BROOKLYN,11220,718-765-0888,12/31/2015,Inactive,07/15/2002
129021,15844-2017-ASHG,2061942-DCA,Business,Application,ON POINT AUTOMOTIVE LLC,Issued,11/03/2017,11/30/2017,Secondhand Dealer - General,Basic,MANIDA ST,BRONX,10474,7184503530,07/31/2019,Inactive,11/29/2017
152235,18041-2019-RHIC,1160366-DCA,Business,Renewal,"JIMENEZ, JR. EFRAIN",Issued,04/17/2019,05/02/2019,Home Improvement Contractor,Special,5TH AVE,NEW YORK,10017,2129180650,02/28/2021,Active,02/27/2004
141410,1522-2017-RHIC,1328865-DCA,Business,Renewal,RB PROFESSIONAL DESIGN & CONSTRUCTION CORP.,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,WALTON AVE,BRONX,10453,2129231617,02/28/2019,Inactive,08/12/2009
37395,1502-2017-RHIC,0979341-DCA,Business,Renewal,ATLANTIC CONTRACTING OF NEW YORK INC,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,KNOLLS DR N,NEW HYDE PARK,11040,7183317581,02/28/2021,Active,02/19/1998
151260,29792-2016-RHIC,1270169-DCA,Business,Renewal,"L & Z RESTORATION, CORP.",Issued,12/13/2016,01/12/2017,Home Improvement Contractor,Special,TROUTMAN ST,BROOKLYN,11237,7183834131,02/28/2021,Active,10/11/2007
156882,1330-2017-RHIC,0815829-DCA,Business,Renewal,EDELSTEIN ROOFING CORP.,Issued,01/10/2017,01/11/2017,Home Improvement Contractor,Special,E 22ND ST,BROOKLYN,11229,7182517090,02/28/2021,Active,11/12/1996
193049,32039-2016-RELE,2017853-DCA,Business,Renewal,"METRO169, INC.",Issued,12/21/2016,01/10/2017,Electronics Store,Basic,HILLSIDE AVE,JAMAICA,11432,3478497684,12/31/2018,Inactive,02/02/2015
84656,17552-2019-RADO,2069370-DCA,Business,Renewal,SEND IN THE CLOWNS ENTERTAINMENT CORP.,Issued,04/11/2019,04/12/2019,Amusement Device Portable,Special,NASSAU TERMINAL RD,NEW HYDE PARK,11040,5163541515,03/15/2020,Active,04/12/2018
60971,14753-2019-RHIC,0925047-DCA,Business,Renewal,"DESANTO, MICHAEL",Issued,03/20/2019,03/21/2019,Home Improvement Contractor,Special,BLACKBURN PL,SUMMIT,07901,9085980411,02/28/2021,Active,02/07/2003
136345,34324-2018-RELE,2078809-DCA,Business,Renewal,HUESOCELL INC,Issued,12/31/2018,01/08/2019,Electronics Store,Basic,JUNCTION BLVD,CORONA,11368,9293959859,12/31/2020,Active,10/04/2018
102318,12848-2016-RNWS,1294354-DCA,Business,Renewal,"SAPAN, MAHMUD S",Issued,09/23/2016,09/23/2016,Newsstand,Special,7 AVENUE,NEW YORK,10011,917-445-6121,09/30/2020,Active,08/01/2008
149947,756-2017-RHIC,1330271-DCA,Business,Renewal,AP CONSTRUCTION INC.,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,59TH ST,BROOKLYN,11219,7188540628,02/28/2021,Active,08/25/2009
11877,28610-2016-AHIC,2047247-DCA,Business,Application,"DONALDSON, VERON",Issued,01/09/2017,01/11/2017,Home Improvement Contractor,Special,ESSEN DR,AMITYVILLE,11701,5166070526,02/28/2019,Inactive,01/10/2017
147610,515-2017-RHIC,1213658-DCA,Business,Renewal,"T SQUARE CONTRACTING, LTD.",Issued,01/04/2017,01/11/2017,Home Improvement Contractor,Special,BAY RIDGE AVE,BROOKLYN,11220,7186792916,02/28/2021,Active,07/10/2007
193082,25-2017-RELE,2026466-DCA,Business,Renewal,TECH SOLUTIONS & FIX IT WIRELESS CORP,Issued,01/02/2017,01/11/2017,Electronics Store,Basic,AMSTERDAM AVE,NEW YORK,10032,6464845392,12/31/2018,Inactive,07/31/2015
157793,18898-2019-RHIC,2050709-DCA,Business,Renewal,CHRISTINE WHYTE & LAWERENCE WHYTE,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,HERING AVE,BRONX,10469,3475247614,02/28/2021,Active,04/05/2017
39053,31870-2016-RHIC,2022150-DCA,Business,Renewal,RAMRICO INC,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,HIGH HILL RD,TUXEDO PARK,10987,2014474455,02/28/2021,Active,05/05/2015
3108,13825-2016-RPDC,1338139-DCA,Business,Renewal,"NEW YORK PEDICABS, INC.",Issued,10/12/2016,01/06/2017,Pedicab Business,Special,CHARLES ST,NEW YORK,10014,9176280205,11/01/2020,Active,10/10/2012
98565,2919-2017-AEHD,2049688-DCA,Business,Application,"AL-JANNAT, INC.",Issued,03/09/2017,03/18/2017,Electronic & Appliance Service,Basic,LAGUARDIA PL,NEW YORK,10012,212-673-5555,06/30/2020,Active,03/17/2017
166791,905-2017-RHIC,2023298-DCA,Business,Renewal,LIBERTY GENERAL CONSTRUCTION CORP OF NEW YORK INC,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,VAN NEST AVE,BRONX,10460,6462267073,02/28/2021,Active,05/26/2015
194787,18949-2019-RHIC,2012186-DCA,Business,Renewal,IDEAS CONSTRUCTION CORP,Issued,04/30/2019,05/01/2019,Home Improvement Contractor,Special,SANFORD AVE,FLUSHING,11358,6462797848,02/28/2021,Active,08/19/2014
124743,19461-2016-RHIC,1380884-DCA,Business,Renewal,ALADDIN PLUMBING CORP.,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,5TH AVE,BROOKLYN,11215,7187834621,02/28/2021,Active,01/18/2011
180403,1467-2017-RHIC,1240992-DCA,Business,Renewal,"ERGUL CONTRACTING, INC.",Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,E 17TH ST,BROOKLYN,11230,7183771943,02/28/2021,Active,01/31/2008
54508,865-2017-RHIC,2034512-DCA,Business,Renewal,PLATINUM PAINTING CONTRACTOR INC,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,STORMYTOWN RD,OSSINING,10562,9143565100,02/28/2021,Active,03/16/2016
195415,33271-2016-RELE,2020911-DCA,Business,Renewal,ICELL INCORPORATED,Issued,12/28/2016,01/06/2017,Electronics Store,Basic,MERRICK BLVD,LAURELTON,11413,5162100055,12/31/2018,Inactive,04/13/2015
98819,28637-2016-ASLS,2046744-DCA,Business,Application,LITTLE REYES LLC,Issued,12/19/2016,12/23/2016,Stoop Line Stand,Basic,WESTCHESTER AVE,BRONX,10472,3477266279,03/31/2020,Active,12/22/2016
175996,948-2017-RHIC,2038656-DCA,Business,Renewal,Fence Plaza Corp,Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,ROGERS AVE,BROOKLYN,11226,7184692200,02/28/2021,Active,06/06/2016
133270,33625-2016-RELE,1403706-DCA,Business,Renewal,NB NETWORK SOLUTIONS INC.,Issued,12/30/2016,01/07/2017,Electronics Store,Basic,BEDFORD PARK BLVD E,BRONX,10468,7187086248,12/31/2020,Active,08/10/2011
146722,27948-2016-AGAR,2046301-DCA,Business,Application,ASTORIA CENTRAL PARKING LLC,Issued,03/30/2017,12/08/2016,Garage,Basic,31ST ST,ASTORIA,11106,7544447275,03/31/2021,Active,12/08/2016
156303,28282-2016-RHIC,1288127-DCA,Business,Renewal,ABBA CONSTRUCTION LLC,Issued,12/08/2016,01/06/2017,Home Improvement Contractor,Special,W 99TH ST,NEW YORK,10025,9175364939,02/28/2021,Active,06/13/2013
98139,1183-2019-RELE,2050343-DCA,Business,Renewal,"AMERITEL OF 18TH AVE BROOKLYN, LLC",Issued,01/09/2019,01/10/2019,Electronics Store,Basic,18TH AVE,BROOKLYN,11214,7188261111,12/31/2020,Active,03/30/2017
105581,4193-2019-AHIC,2085171-DCA,Business,Application,ATTARI CONSTRUCTION INC.,Issued,04/15/2019,04/26/2019,Home Improvement Contractor,Special,DITMAS AVE,BROOKLYN,11218,718 775-0148,02/28/2021,Active,04/25/2019
150494,1097-2017-RHIC,2028349-DCA,Business,Renewal,Standard Builders Inc,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,ARNOW AVE,BRONX,10467,917-310-2100,02/28/2021,Active,09/14/2015
175388,24162-2017-RSHG,0690564-DCA,Business,Renewal,"JULIUS COHEN JEWELER, INC.",Issued,09/06/2017,09/07/2017,Secondhand Dealer - General,Basic,RICHARDSON ST,BROOKLYN,11222,2123713050,07/31/2021,Active,08/13/2003
115258,7099-2017-RHIC,2043272-DCA,Business,Renewal,"CHARLES, KEION",Issued,02/28/2017,03/01/2017,Home Improvement Contractor,Special,PACIFIC ST,BROOKLYN,11216,3477926169,02/28/2019,Inactive,09/02/2016
108835,1052-2017-RHIC,1396148-DCA,Business,Renewal,ALLIED FLOORING INC.,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,CROWN AVE,STATEN ISLAND,10312,6469968687,02/28/2021,Active,06/13/2011
199929,1215-2019-RDPD,2036732-DCA,Business,Renewal,ORTHOSERVE INC,Issued,01/09/2019,01/10/2019,Dealer In Products,Basic,WEBSTER AVE,BRONX,10458,718-618-7503,03/15/2021,Active,04/28/2016
138172,528-2019-RELE,1302418-DCA,Business,Renewal,"SALEEM, NOORALI",Issued,01/04/2019,01/08/2019,Electronics Store,Basic,BROADWAY,NEW YORK,10001,7185678540,12/31/2020,Inactive,10/17/2008
47309,942-2017-RHIC,2024882-DCA,Business,Renewal,"SAVAGE, DAVID J",Issued,01/06/2017,01/07/2017,Home Improvement Contractor,Special,STATE ROUTE 22,AUSTERLITZ,12017,5183923349,02/28/2021,Active,06/25/2015
46653,1046-2017-RHIC,2033223-DCA,Business,Renewal,CHOUDHRY BUILDERS INC,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,238TH ST,ELMONT,11003,5162632191,02/28/2021,Active,02/11/2016
99159,17050-2016-RHIC,2010232-DCA,Business,Renewal,G.M Diamond's Construction LLC,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,129TH ST,KEW GARDENS,11415,347-622-9334,02/28/2021,Active,07/02/2014
190503,6389-2017-RHIC,2021556-DCA,Business,Renewal,Folor Inc.,Issued,03/22/2017,03/23/2017,Home Improvement Contractor,Special,W 45TH ST,NEW YORK,10036,6464227536,02/28/2021,Active,04/23/2015
45359,33366-2016-RDEB,2038586-DCA,Business,Renewal,"Pacific Union Financial, LLC",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,BENT BRANCH DR,IRVING,75063,9728273600,01/31/2019,Inactive,06/02/2016
158299,933-2019-RHIC,2060144-DCA,Business,Renewal,"HUDSON WOODWORKERS, LLC",Issued,01/08/2019,01/09/2019,Home Improvement Contractor,Special,CLAREMONT AVE,NEW YORK,10027,7185858120,02/28/2021,Active,11/01/2017
107368,28989-2016-AHIC,2047126-DCA,Business,Application,"LADINO, JUAN",Issued,01/03/2017,01/07/2017,Home Improvement Contractor,Special,AVENUE O,BROOKLYN,11204,646-542-4728,02/28/2021,Active,01/06/2017
116976,9893-2019-RHIC,1258929-DCA,Business,Renewal,"ARTENOVA OF NEW YORK, LTD.",Denied,02/20/2019,03/26/2019,Home Improvement Contractor,Special,Norman Ave,BROOKLYN,11222,7183836790,02/28/2019,Inactive,06/18/2007
99614,1377-2017-RELE,2006760-DCA,Business,Renewal,MYRTLE ELECTRONICS & REPAIR INC,Issued,01/10/2017,01/11/2017,Electronics Store,Basic,MYRTLE AVE,BROOKLYN,11237,718-418-8484,12/31/2018,Inactive,04/23/2014
163605,42-2017-RELE,2014483-DCA,Business,Renewal,NEW FANTASY ACCESSORIES INC,Issued,01/02/2017,01/11/2017,Electronics Store,Basic,FULTON ST,BROOKLYN,11208,7182772377,12/31/2020,Active,10/10/2014
43207,560-2017-RDEB,1023685-DCA,Business,Renewal,"AUDIT SYSTEMS, INC.",Issued,01/05/2017,01/06/2017,Debt Collection Agency,Basic,ULMERTON RD,CLEARWATER,33762,8005151144,01/31/2021,Active,11/18/1999
137725,18186-2019-RHIC,1468224-DCA,Business,Renewal,PATRICK WEISEL LANDSCAPE DESIGN LLC,Issued,04/26/2019,04/27/2019,Home Improvement Contractor,Special,44TH AVE,LONG ISLAND CITY,11101,2127998133,02/28/2021,Active,06/26/2013
106149,22610-2018-RTRD,1045212-DCA,Business,Renewal,"J.W. MARKET, INC.",Issued,10/25/2018,10/26/2018,Tobacco Retail Dealer,Basic,SULLIVAN ST,NEW YORK,10012,212-228-9303,12/31/2020,Active,12/01/2000
97432,19024-2019-RADO,1174451-DCA,Business,Renewal,"N.Y. PARTY WORKS, INC.",Issued,04/30/2019,05/01/2019,Amusement Device Portable,Special,W JEFRYN BLVD,DEER PARK,11729,6315011414,03/15/2020,Active,04/14/2006
36641,12645-2016-ASLS,2044674-DCA,Business,Application,HAR SIDDHI CORPORATION,Issued,10/13/2016,10/14/2016,Stoop Line Stand,Basic,JUNCTION BLVD,CORONA,11368,718-429-1018,03/31/2022,Active,10/13/2016
132512,33302-2016-RHIC,1271234-DCA,Business,Renewal,A I N CONTRACTING CORP.,Issued,12/28/2016,01/06/2017,Home Improvement Contractor,Special,LAKE ST,BROOKLYN,11223,7186481777,02/28/2021,Active,10/24/2007
125827,33461-2016-RELE,2034718-DCA,Business,Renewal,SM COMMUNICATION INC.,Issued,12/29/2016,01/10/2017,Electronics Store,Basic,E 176TH ST,BRONX,10453,9174129966,12/31/2020,Active,03/22/2016
191349,23625-2016-RHIC,1217377-DCA,Business,Renewal,BENNY'S CONTRACTING INC.,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,FR CAPODANNO BLVD,STATEN ISLAND,10305,7187200331,02/28/2021,Active,01/11/2006
29747,26300-2017-RSWC,1249523-DCA,Business,Renewal,AKRAM RESTAURANT MANAGEMENT INC.,Issued,09/07/2017,09/07/2017,Sidewalk Cafe,Special,MULBERRY ST,NEW YORK,10013,2123439065,04/14/2020,Active,03/08/2007
154488,4696-2019-ASLS,2085124-DCA,Business,Application,HAR HAR PHARMACY CORP,Issued,04/23/2019,04/26/2019,Stoop Line Stand,Basic,103RD ST,CORONA,11368,7187794450,03/31/2020,Active,04/25/2019
101038,1086-2017-RHIC,1296484-DCA,Business,Renewal,ACCORD ENTERPRISE CORP.,Issued,01/09/2017,01/12/2017,Home Improvement Contractor,Special,BRYANT AVE,STATEN ISLAND,10306,7183514780,02/28/2021,Active,08/20/2008
49990,707-2017-RHIC,1367306-DCA,Business,Renewal,LAPOLLA METRO INC.,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,TRADE ZONE DR,RONKONKOMA,11779,6312075655,02/28/2021,Active,08/18/2010
173063,33097-2018-RHIC,2071835-DCA,Business,Renewal,MATRI CONSTRUCTION INC,Issued,01/04/2019,01/05/2019,Home Improvement Contractor,Special,30TH AVE,EAST ELMHURST,11370,9294626766,02/28/2021,Active,05/24/2018
130585,22615-2017-RSHG,1090570-DCA,Business,Renewal,NORTH SHORE COLLISION CORP.,Issued,07/19/2017,07/20/2017,Secondhand Dealer - General,Basic,32ND AVE,FLUSHING,11354,7184612224,07/31/2021,Active,07/07/2003
155725,24047-2016-RHIC,1250167-DCA,Business,Renewal,GHC CONSTRUCTION INC.,Issued,01/10/2017,01/11/2017,Home Improvement Contractor,Special,31ST AVENUE,ASTORIA,11106,7182677819,02/28/2021,Active,10/30/2009
137002,11381-2017-ASHG,2057716-DCA,Business,Application,1 MI TALLER CORP.,Issued,08/24/2017,09/01/2017,Secondhand Dealer - General,Basic,70TH ST,WOODSIDE,11377,7184247289,07/31/2021,Active,08/31/2017
201582,34453-2018-RELE,1467108-DCA,Business,Renewal,BONANZA ELECTRONICS LLC,Issued,12/31/2018,01/08/2019,Electronics Store,Basic,E 170TH ST,BRONX,10452,7184441216,12/31/2020,Active,06/13/2013
191778,9455-2015-RHIC,1392407-DCA,Business,Renewal,"SIMONELLI CONSTRUCTION CO., LLC",Issued,03/25/2015,03/26/2015,Home Improvement Contractor,Special,58TH AVE,FRESH MEADOWS,11365,9177505591,02/28/2017,Inactive,05/17/2011
145172,10300-2015-RHIC,1368990-DCA,Business,Renewal,"CITY SUBURB, INC.",Issued,03/03/2015,03/04/2015,Home Improvement Contractor,Special,METROPOLITAN AVE,KEW GARDENS,11415,7184062753,02/28/2021,Active,08/31/2010
98657,20388-2016-RHIC,1471429-DCA,Business,Renewal,MR. FIXIT HANDYMAN & HOME IMPROVEMENT CORP.,Issued,01/05/2017,01/06/2017,Home Improvement Contractor,Special,HOLLYWOOD AVE,BRONX,10461,3475822160,02/28/2021,Active,08/15/2013
135457,1346-2019-RHIC,1171748-DCA,Business,Renewal,"MICHOS, KONSTANTINOS",Issued,01/09/2019,01/10/2019,Home Improvement Contractor,Special,28TH ST,ASTORIA,11102,6467736462,02/28/2021,Active,06/24/2004
106810,33412-2016-RELE,2037379-DCA,Business,Renewal,FIX AND ACCESSORIZE LLC,Issued,12/29/2016,01/12/2017,Electronics Store,Basic,3RD AVE,NEW YORK,10016,646-359-3109,12/31/2018,Inactive,05/10/2016
183222,4785-2019-AADT,2085123-DCA,Business,Application,BILLMAR AMUSEMENTS NY PARTYWORKS INC,Issued,04/25/2019,04/26/2019,Amusement Device Temporary,Basic,KISSENA BLVD,FLUSHING,11367,6315011414,05/08/2019,Inactive,04/25/2019
